,consensus_5,consensus_4,consensus_1,consensus_2,consensus_3
P-0000900-T01-IM3,34.619840434865345,14.796236225841385,3.6740599111988463,0.2557864841367199,0.22216322380663478
P-0000107-T01-IM3,32.05401426597957,17.23789074877329,0.0,0.2594884760068248,0.01643775056403348
P-0003960-T01-IM3,35.51443009475438,33.222856051582525,0.0,0.0,0.5564828340241342
P-0001242-T01-IM3,37.84621645672795,0.21163800212308342,0.11214158546822958,0.1316394867182388,0.0
P-0000522-T01-IM3,37.651228006026,18.491382091137154,6.413037497256783,1.1354139344306173,0.19723625581666251
P-0000763-T01-IM3,27.471049956751994,0.8019386752617768,19.906345209350228,0.0,2.2167758241833524
P-0000739-T01-IM3,25.21950192576458,51.270317231276316,16.974438039364852,0.0,0.0
P-0000435-T01-IM3,28.951968505204515,24.707178860518688,22.728187255032314,0.8113992214508111,0.0
P-0001909-T01-IM3,32.41587227085914,29.640610170559572,4.372077751964247,1.1899042991323645,1.0582268749449113
P-0000119-T01-IM3,25.121269630039404,34.07424044071787,2.6899011752318462,0.06337956014805657,6.253173181389856
P-0000235-T01-IM3,38.43472686031053,0.0,3.5714211492559134,1.3217618735474674,0.0
P-0000628-T01-IM3,24.400720108814618,10.272236249530152,20.839235734664694,0.0,0.0
P-0000478-T01-IM3,40.49377574589407,14.493340160480862,0.0,0.0,0.35472400849165364
P-0001079-T01-IM3,33.44580232258265,9.067430112116872,0.0,0.22971252126048408,0.13508415681548916
P-0000933-T01-IM3,33.976466951269124,0.0,0.0,0.23190491187644258,0.0
P-0000197-T01-IM3,37.82488393411115,37.233009099320014,0.0,0.0,1.754931168519506
P-0000511-T01-IM3,36.55126496113252,7.650897174044936,0.0,0.0,0.7996973087469597
P-0000731-T01-IM3,30.996487536715094,23.90987816100098,8.49285656221167,0.0,0.8198066268080839
P-0000989-T01-IM3,38.306566427670965,0.0,0.8656070186620298,0.05610502736425905,0.0
P-0000252-T01-IM3,22.936954144545428,22.129269801800156,9.15288350213172,0.0,3.372162153645469
P-0000183-T01-IM3,39.90723163275623,27.80580234476179,0.0,0.685254382007639,1.2997334470867543
P-0000392-T01-IM3,35.73408233564402,1.2574167612714156,0.0,0.38915671989472483,0.0
P-0001010-T01-IM3,34.629583551470695,0.0,0.0,0.3305267962115972,0.0
P-0000445-T01-IM3,32.93766177669369,15.71249177191324,0.0,0.0,0.20507325376364105
P-0001441-T01-IM3,26.330510467596678,53.342506723729684,4.618488484031696,0.0,3.733831547907638
P-0000678-T01-IM3,27.333133470939792,0.0,14.692988657464142,0.0,0.9596932257461491
P-0000260-T01-IM3,30.806164081610582,0.0,0.0,0.17902982704415382,0.0
P-0001341-T01-IM3,22.799991724972227,39.4641704514697,22.410168068779193,3.844805609174459,1.710990407491006
P-0003974-T01-IM3,22.243761699574787,27.100879283317653,12.969871943518616,0.7178523735508833,2.8734504692574636
P-0000830-T01-IM3,30.956616358035514,61.65286965582391,0.0,0.0,1.070406603572592
P-0001237-T01-IM3,40.26909155525751,18.57105301789826,0.0,1.065972677519804,0.0
P-0000721-T01-IM3,37.49088892331578,6.101613093105718,4.386181449821643,0.0,0.0
P-0000505-T01-IM3,34.78600604859759,7.297062352287991,0.0,0.011355590291666778,0.276979675755124
P-0000441-T01-IM3,27.572010610651603,4.328291608744935,30.913882744123864,0.0,0.0
P-0001332-T01-IM3,36.87329879238833,11.060282820025002,5.038990306925131,0.0,0.4924736217797435
P-0000275-T01-IM3,30.90822652174554,93.60995798083223,5.327387045621077,0.0,0.0
P-0000871-T01-IM3,29.423294530768455,0.0,12.208260860686963,0.24398389505293672,0.0
P-0001208-T01-IM3,34.41901099238113,10.138018633129345,0.0,0.9473678414208708,0.0
P-0000463-T01-IM3,33.205215198477745,26.480137448526293,16.044257367566516,0.0,0.0
P-0000274-T01-IM3,37.03931295665937,5.344596107003561,0.0,1.8084981864120513,0.0
P-0000864-T01-IM3,33.46571142711629,29.72969915503452,8.663334791509278,0.0,0.0
